Country,Fruits 2009-10 Area (In Hectare),Fruits 2010-11 Area (In Hectare),Fruits2009-10 Production (In Tonnes),Fruits2010-11 Production (In Tonnes),Fruits2009-10 Productivity (In Tonnes/Hectare),Fruits2010-11 Productivity (In Tonnes/Hectare),Vegetables 2009-10 Area (In Hectare),Vegetables 2010-11 Area (In Hectare),Vegetables2009-10 Production (In Tonnes),Vegetables2010-11 Production (In Tonnes),Vegetables2009-10 Productivity (In Tonnes/Hectare),Vegetables2010-11 Productivity (In Tonnes/Hectare)
China,11057621.00,11402073.00,109615629.00,122184944.00,9.90,10.70,24080078.00,21047200.00,457830386.00,473062941.00,19.00,22.50
India,6329200.00,6383000.00,71515500.00,74878000.00,11.30,11.70,7984800.00,8495000.00,133737600.00,146554000.00,16.70,17.30
Brazil,2449758.00,2441430.00,38683456.00,39286781.00,15.80,16.10,1158911.00,1123800.00,37252110.00,35293556.00,32.10,31.40
USA,1159589.00,1145475.00,27762483.00,25383917.00,23.90,22.20,1106103.00,1089805.00,27163932.00,25831193.00,24.60,23.70
Italy,1267386.00,1277347.00,17646110.00,16907895.00,13.90,13.20,592757.00,711857.00,14974532.00,18678490.00,25.30,26.20
Spain,1743165.00,1562160.00,16277697.00,15184420.00,9.30,9.70,523843.00,536799.00,13696421.00,13499277.00,26.10,25.10
Mexico,1201897.00,1212387.00,16122211.00,15255598.00,13.40,12.60,767820.00,759100.00,14349110.00,13233450.00,18.70,17.40
Indonesia,721258.00,662800.00,16028273.00,14867762.00,22.20,22.40,724047.00,758383.00,19171905.00,19516402.00,26.50,25.70
Philippines,1123530.00,1155871.00,15620664.00,16181731.00,13.90,14.00,352845.00,340600.00,12621874.00,12679700.00,35.80,37.20
Iran,1264574.00,0.00,13183703.00,0.00,10.40,0.00,668970.00,656124.00,12100851.00,12125391.00,18.10,18.50
Turkey,1036528.00,1092623.00,12829520.00,13945604.00,12.40,12.80,307263.00,0.00,11278249.00,0.00,36.70,0.00
Others,26242703.00,26751915.00,228947458.00,245223757.00,8.70,9.20,16878300.00,18458398.00,221293175.00,242049765.00,13.10,13.10
